,Close
0,0.074
1,0.0
2,0.148
3,0.185
4,0.164
5,0.029
6,0.097
7,0.056
8,0.146
9,0.18
10,0.232
11,0.312
12,0.308
13,0.277
14,0.375
15,0.421
16,0.419
17,0.467
18,0.501
19,0.493
20,0.499
21,0.549
22,0.376
23,0.417
24,0.486
25,0.587
26,0.662
27,0.74
28,0.778
29,0.711
30,0.805
31,0.791
32,0.836
33,0.759
34,0.782
35,0.648
36,0.82
37,0.804
38,0.733
39,0.773
40,0.678
41,0.6
42,0.586
43,0.645
44,0.637
45,0.456
46,0.48
47,0.622
48,0.635
49,0.606
50,0.777
51,0.707
52,0.523
53,0.622
54,0.58
55,0.519
56,0.447
57,0.22
58,0.241
59,0.377
60,0.583
61,0.506
62,0.485
63,0.518
64,0.474
65,0.385
66,0.34
67,0.367
68,0.315
69,0.273
70,0.33
71,0.399
72,0.37
73,0.48
74,0.469
75,0.389
76,0.385
77,0.412
78,0.53
79,0.714
80,0.597
81,0.542
82,0.414
83,0.451
84,0.5
85,0.535
86,0.588
87,0.63
88,0.737
89,0.73
90,0.561
91,0.703
92,0.677
93,0.745
94,0.615
95,0.525
96,0.643
97,0.619
98,0.713
99,0.804
100,1.0
101,0.906
102,0.848
103,0.937
104,0.972
105,0.938
106,0.876
107,0.864
108,0.727
109,0.707
110,0.719
111,0.717
112,0.835
113,0.873
114,0.759
115,0.785
116,0.734
117,0.635
118,0.702
119,0.76
120,0.685
121,0.716
122,0.757
123,0.604
124,0.612
125,0.569
126,0.405
127,0.361
128,0.33
129,0.354
130,0.408
131,0.466
132,0.43
133,0.49
134,0.489
135,0.507
136,0.472
137,0.498
138,0.543
139,0.48
140,0.409
141,0.391
142,0.408
143,0.373
144,0.388
145,0.439
146,0.475
147,0.469
148,0.396
149,0.404
150,0.455
151,0.425
152,0.542
153,0.574
154,0.604
155,0.753
156,0.725
157,0.731
158,0.751
159,0.73
160,0.646
161,0.705
162,0.696
163,0.751
164,0.732
165,0.724
166,0.755
167,0.809
168,0.758
169,0.727
170,0.744
171,0.678
172,0.626
173,0.588
174,0.628
175,0.484
176,0.468
