,Close
0,0.118
1,0.129
2,0.153
3,0.145
4,0.102
5,0.122
6,0.047
7,0.0
8,0.106
9,0.12
10,0.208
11,0.406
12,0.42
13,0.402
14,0.473
15,0.484
16,0.512
17,0.527
18,0.571
19,0.567
20,0.482
21,0.514
22,0.502
23,0.543
24,0.541
25,0.557
26,0.622
27,0.643
28,0.69
29,0.72
30,0.759
31,0.749
32,0.769
33,0.714
34,0.647
35,0.61
36,0.584
37,0.629
38,0.559
39,0.529
40,0.512
41,0.478
42,0.476
43,0.453
44,0.394
45,0.443
46,0.48
47,0.508
48,0.535
49,0.424
50,0.437
51,0.498
52,0.512
53,0.582
54,0.59
55,0.551
56,0.506
57,0.467
58,0.455
59,0.422
60,0.467
61,0.402
62,0.39
63,0.48
64,0.576
65,0.553
66,0.555
67,0.496
68,0.52
69,0.518
70,0.551
71,0.727
72,0.678
73,0.747
74,0.763
75,0.706
76,0.569
77,0.684
78,0.733
79,0.778
80,0.784
81,0.804
82,0.876
83,0.886
84,0.89
85,0.814
86,0.814
87,0.908
88,0.91
89,0.902
90,0.878
91,1.0
92,0.959
93,0.933
94,0.949
95,0.873
96,0.831
97,0.867
98,0.896
99,0.953
100,0.931
101,0.988
102,0.906
103,0.931
104,0.959
105,0.945
106,0.961
107,0.727
108,0.702
109,0.704
110,0.706
111,0.676
112,0.678
113,0.608
114,0.535
115,0.476
116,0.482
117,0.496
118,0.524
119,0.678
120,0.649
121,0.649
122,0.651
123,0.596
124,0.649
125,0.6
126,0.606
127,0.565
128,0.561
129,0.657
130,0.592
131,0.606
132,0.586
133,0.604
134,0.602
135,0.553
136,0.276
137,0.314
138,0.357
139,0.422
140,0.441
141,0.447
142,0.465
143,0.467
144,0.457
145,0.58
146,0.616
147,0.686
148,0.692
149,0.688
150,0.694
151,0.686
152,0.641
153,0.698
154,0.72
155,0.7
156,0.731
157,0.676
158,0.71
159,0.68
160,0.667
161,0.669
162,0.682
163,0.696
164,0.676
165,0.698
166,0.624
167,0.649
168,0.631
169,0.502
170,0.502
171,0.337
172,0.316
173,0.212
174,0.239
175,0.194
176,0.294
