,Close
0,0.25
1,0.239
2,0.28
3,0.262
4,0.217
5,0.221
6,0.235
7,0.268
8,0.235
9,0.247
10,0.308
11,0.42
12,0.438
13,0.379
14,0.361
15,0.29
16,0.325
17,0.349
18,0.363
19,0.337
20,0.465
21,0.373
22,0.318
23,0.363
24,0.491
25,0.393
26,0.582
27,0.515
28,0.578
29,0.572
30,0.58
31,0.499
32,0.456
33,0.389
34,0.314
35,0.312
36,0.361
37,0.454
38,0.377
39,0.361
40,0.353
41,0.343
42,0.288
43,0.272
44,0.258
45,0.294
46,0.296
47,0.337
48,0.359
49,0.286
50,0.26
51,0.272
52,0.237
53,0.245
54,0.213
55,0.199
56,0.152
57,0.124
58,0.101
59,0.103
60,0.146
61,0.118
62,0.097
63,0.126
64,0.158
65,0.12
66,0.266
67,0.197
68,0.107
69,0.082
70,0.087
71,0.097
72,0.067
73,0.122
74,0.114
75,0.085
76,0.077
77,0.049
78,0.0
79,0.065
80,0.079
81,0.059
82,0.053
83,0.11
84,0.132
85,0.065
86,0.089
87,0.085
88,0.059
89,0.288
90,0.416
91,0.448
92,0.576
93,0.542
94,0.655
95,0.708
96,0.68
97,0.596
98,0.606
99,0.556
100,0.623
101,0.558
102,0.503
103,0.627
104,0.746
105,0.905
106,0.988
107,1.0
108,0.773
109,0.657
110,0.665
111,0.584
112,0.529
113,0.548
114,0.505
115,0.471
116,0.383
117,0.318
118,0.282
119,0.27
120,0.258
121,0.247
122,0.207
123,0.187
124,0.221
125,0.179
126,0.213
127,0.286
128,0.235
129,0.233
130,0.219
131,0.235
132,0.241
133,0.29
134,0.325
135,0.349
136,0.312
137,0.237
138,0.249
139,0.292
140,0.294
141,0.288
142,0.274
143,0.321
144,0.353
145,0.424
146,0.523
147,0.513
148,0.477
149,0.45
150,0.387
151,0.367
152,0.316
153,0.31
154,0.355
155,0.341
156,0.387
157,0.398
158,0.327
159,0.254
160,0.26
161,0.26
162,0.227
163,0.231
164,0.242
165,0.231
166,0.256
167,0.28
168,0.239
169,0.219
170,0.191
171,0.158
172,0.144
173,0.166
174,0.156
175,0.189
176,0.14
