,Close
0,0.0
1,0.044
2,0.079
3,0.192
4,0.17
5,0.337
6,0.39
7,0.42
8,0.534
9,0.518
10,0.494
11,0.529
12,0.535
13,0.482
14,0.562
15,0.685
16,0.765
17,0.752
18,0.558
19,0.634
20,0.704
21,0.652
22,0.717
23,0.637
24,0.608
25,0.551
26,0.507
27,0.607
28,0.54
29,0.525
30,0.488
31,0.585
32,0.64
33,0.64
34,0.714
35,0.559
36,0.512
37,0.426
38,0.412
39,0.272
40,0.369
41,0.573
42,0.539
43,0.549
44,0.486
45,0.502
46,0.605
47,0.696
48,0.614
49,0.731
50,0.744
51,0.654
52,0.714
53,0.75
54,0.623
55,0.681
56,0.72
57,0.815
58,0.832
59,0.87
60,0.874
61,0.963
62,1.0
63,0.99
64,0.845
65,0.814
66,0.851
67,0.842
68,0.787
69,0.802
70,0.875
71,0.838
72,0.825
73,0.891
74,0.863
75,0.691
76,0.691
77,0.672
78,0.726
79,0.745
80,0.623
81,0.725
82,0.744
83,0.721
84,0.645
85,0.692
86,0.535
87,0.528
88,0.475
89,0.515
90,0.572
91,0.586
92,0.515
93,0.611
94,0.678
95,0.715
96,0.713
97,0.637
98,0.585
99,0.465
100,0.386
101,0.3
102,0.303
103,0.075
104,0.12
