,Close
0,0.0
1,0.126
2,0.125
3,0.252
4,0.367
5,0.373
6,0.319
7,0.395
8,0.365
9,0.41
10,0.401
11,0.47
12,0.482
13,0.413
14,0.436
15,0.403
16,0.428
17,0.439
18,0.479
19,0.565
20,0.64
21,0.682
22,0.692
23,0.725
24,0.66
25,0.709
26,0.647
27,0.576
28,0.534
29,0.512
30,0.587
31,0.516
32,0.449
33,0.448
34,0.428
35,0.444
36,0.378
37,0.311
38,0.404
39,0.483
40,0.56
41,0.59
42,0.499
43,0.546
44,0.582
45,0.547
46,0.649
47,0.622
48,0.548
49,0.43
50,0.325
51,0.34
52,0.298
53,0.353
54,0.278
55,0.256
56,0.349
57,0.493
58,0.454
59,0.437
60,0.382
61,0.358
62,0.305
63,0.318
64,0.51
65,0.476
66,0.58
67,0.588
68,0.756
69,0.604
70,0.68
71,0.833
72,0.862
73,0.857
74,0.861
75,0.94
76,0.974
77,0.946
78,0.848
79,0.886
80,0.982
81,0.994
82,0.971
83,0.928
84,1.0
85,0.916
86,0.843
87,0.839
88,0.794
89,0.752
90,0.754
91,0.775
92,0.859
93,0.824
94,0.853
95,0.829
96,0.838
97,0.9
98,0.88
99,0.882
100,0.652
101,0.665
102,0.729
103,0.716
104,0.712
105,0.713
106,0.639
107,0.54
108,0.417
109,0.352
110,0.348
111,0.374
112,0.445
113,0.424
114,0.445
115,0.439
116,0.418
117,0.471
118,0.44
119,0.408
120,0.39
121,0.38
122,0.514
123,0.522
124,0.56
125,0.559
126,0.642
127,0.624
128,0.582
129,0.378
130,0.346
131,0.425
132,0.51
133,0.488
