,Close
0,0.323
1,0.322
2,0.393
3,0.355
4,0.351
5,0.364
6,0.333
7,0.228
8,0.292
9,0.352
10,0.386
11,0.407
12,0.402
13,0.436
14,0.437
15,0.307
16,0.457
17,0.516
18,0.489
19,0.459
20,0.512
21,0.5
22,0.548
23,0.639
24,0.657
25,0.664
26,0.68
27,0.65
28,0.647
29,0.663
30,0.648
31,0.695
32,0.653
33,0.564
34,0.51
35,0.528
36,0.475
37,0.414
38,0.616
39,0.526
40,0.718
41,0.654
42,0.684
43,0.631
44,0.702
45,0.64
46,0.593
47,0.522
48,0.498
49,0.475
50,0.386
51,0.335
52,0.357
53,0.275
54,0.317
55,0.367
56,0.431
57,0.496
58,0.602
59,0.512
60,0.514
61,0.465
62,0.398
63,0.293
64,0.131
65,0.331
66,0.207
67,0.284
68,0.325
69,0.309
70,0.275
71,0.364
72,0.384
73,0.498
74,0.534
75,0.532
76,0.614
77,0.604
78,0.467
79,0.395
80,0.574
81,0.556
82,0.594
83,0.639
84,0.546
85,0.7
86,0.65
87,0.589
88,0.698
89,0.798
90,0.839
91,0.834
92,0.899
93,0.921
94,0.972
95,1.0
96,0.913
97,0.876
98,0.987
99,0.953
100,0.926
101,0.76
102,0.758
103,0.735
104,0.721
105,0.744
106,0.75
107,0.682
108,0.71
109,0.592
110,0.57
111,0.524
112,0.503
113,0.538
114,0.512
115,0.528
116,0.505
117,0.441
118,0.495
119,0.438
120,0.333
121,0.293
122,0.249
123,0.267
124,0.311
125,0.361
126,0.344
127,0.395
128,0.384
129,0.488
130,0.359
131,0.242
132,0.315
133,0.148
134,0.152
135,0.187
136,0.095
137,0.0
138,0.085
139,0.178
140,0.187
141,0.173
142,0.165
143,0.146
144,0.121
145,0.114
146,0.104
147,0.121
148,0.138
149,0.132
150,0.158
151,0.179
152,0.18
153,0.132
154,0.138
155,0.434
156,0.376
157,0.238
158,0.292
159,0.233
160,0.249
161,0.296
162,0.224
163,0.132
164,0.154
165,0.113
166,0.087
167,0.076
168,0.092
169,0.038
170,0.059
171,0.032
172,0.049
173,0.107
