,Close
0,0.002
1,0.015
2,0.078
3,0.149
4,0.22
5,0.182
6,0.144
7,0.264
8,0.262
9,0.41
10,0.439
11,0.479
12,0.449
13,0.457
14,0.392
15,0.283
16,0.344
17,0.357
18,0.384
19,0.462
20,0.561
21,0.579
22,0.509
23,0.451
24,0.481
25,0.572
26,0.539
27,0.535
28,0.601
29,0.643
30,0.644
31,0.604
32,0.643
33,0.538
34,0.54
35,0.471
36,0.499
37,0.465
38,0.421
39,0.436
40,0.497
41,0.535
42,0.497
43,0.604
44,0.505
45,0.446
46,0.431
47,0.399
48,0.365
49,0.343
50,0.199
51,0.066
52,0.075
53,0.182
54,0.191
55,0.183
56,0.347
57,0.468
58,0.557
59,0.638
60,0.626
61,0.601
62,0.556
63,0.608
64,0.67
65,0.555
66,0.619
67,0.617
68,0.727
69,0.707
70,0.798
71,0.777
72,0.814
73,0.825
74,0.755
75,0.751
76,0.769
77,0.836
78,0.799
79,0.837
80,0.908
81,1.0
82,0.963
83,0.736
84,0.832
85,0.896
86,0.864
87,0.931
88,0.857
89,0.846
90,0.81
91,0.759
92,0.852
93,0.778
94,0.772
95,0.703
96,0.742
97,0.766
98,0.742
99,0.748
100,0.602
101,0.529
102,0.521
103,0.452
104,0.377
105,0.444
106,0.483
107,0.476
108,0.446
109,0.389
110,0.371
111,0.404
112,0.465
113,0.38
114,0.457
115,0.473
116,0.396
117,0.461
118,0.461
119,0.325
120,0.345
121,0.331
122,0.38
123,0.43
124,0.449
125,0.479
126,0.553
127,0.553
128,0.552
129,0.52
130,0.571
131,0.609
132,0.633
133,0.668
134,0.753
135,0.845
136,0.796
137,0.698
138,0.759
139,0.7
140,0.601
141,0.626
142,0.571
143,0.684
144,0.659
145,0.585
146,0.715
147,0.708
148,0.736
149,0.68
150,0.621
151,0.519
152,0.488
153,0.298
154,0.356
155,0.388
156,0.401
157,0.346
158,0.398
159,0.441
160,0.481
161,0.458
162,0.408
163,0.353
164,0.31
165,0.252
166,0.182
167,0.166
168,0.029
169,0.072
170,0.0
171,0.071
172,0.145
173,0.078
174,0.052
