,Close
0,0.0
1,0.073
2,0.164
3,0.199
4,0.192
5,0.405
6,0.372
7,0.272
8,0.261
9,0.257
10,0.294
11,0.283
12,0.27
13,0.261
14,0.281
15,0.252
16,0.223
17,0.235
18,0.294
19,0.398
20,0.294
21,0.378
22,0.381
23,0.447
24,0.442
25,0.44
26,0.513
27,0.192
28,0.137
29,0.186
30,0.219
31,0.206
32,0.17
33,0.166
34,0.268
35,0.223
36,0.208
37,0.226
38,0.223
39,0.29
40,0.345
41,0.261
42,0.248
43,0.283
44,0.288
45,0.243
46,0.23
47,0.263
48,0.321
49,0.235
50,0.281
51,0.272
52,0.19
53,0.23
54,0.168
55,0.095
56,0.058
57,0.091
58,0.155
59,0.166
60,0.104
61,0.097
62,0.162
63,0.088
64,0.115
65,0.108
66,0.155
67,0.164
68,0.139
69,0.146
70,0.164
71,0.252
72,0.347
73,0.314
74,0.347
75,0.498
76,0.531
77,0.465
78,0.383
79,0.376
80,0.356
81,0.316
82,0.387
83,0.405
84,0.449
85,0.511
86,0.485
87,0.476
88,0.498
89,0.498
90,0.54
91,0.987
92,0.606
93,0.726
94,0.832
95,0.883
96,0.788
97,0.75
98,0.777
99,0.878
100,0.867
101,0.83
102,0.852
103,0.838
104,0.834
105,0.898
106,0.83
107,0.834
108,0.861
109,0.723
110,0.858
111,0.843
112,0.896
113,0.77
114,0.779
115,1.0
116,0.949
117,0.942
118,0.852
119,0.684
120,0.586
121,0.626
122,0.562
123,0.56
124,0.606
125,0.628
126,0.622
127,0.558
128,0.602
129,0.546
130,0.646
131,0.604
132,0.58
133,0.591
134,0.54
135,0.584
136,0.553
137,0.456
138,0.511
139,0.392
140,0.416
141,0.343
142,0.361
143,0.305
144,0.403
145,0.387
146,0.412
147,0.237
148,0.226
149,0.261
150,0.221
151,0.177
152,0.396
153,0.509
154,0.458
155,0.562
156,0.606
157,0.553
158,0.626
159,0.58
160,0.431
161,0.535
162,0.529
163,0.509
164,0.549
165,0.608
166,0.602
167,0.67
168,0.613
169,0.593
170,0.531
171,0.487
172,0.438
173,0.418
174,0.387
175,0.405
176,0.374
177,0.383
178,0.414
179,0.343
180,0.347
181,0.303
182,0.257
183,0.201
184,0.126
185,0.199
