,Close
0,0.098
1,0.083
2,0.106
3,0.098
4,0.071
5,0.117
6,0.063
7,0.031
8,0.131
9,0.137
10,0.237
11,0.244
12,0.244
13,0.248
14,0.313
15,0.385
16,0.462
17,0.481
18,0.542
19,0.533
20,0.504
21,0.504
22,0.462
23,0.515
24,0.51
25,0.525
26,0.569
27,0.594
28,0.638
29,0.673
30,0.725
31,0.69
32,0.688
33,0.656
34,0.588
35,0.55
36,0.525
37,0.558
38,0.498
39,0.438
40,0.456
41,0.404
42,0.408
43,0.381
44,0.323
45,0.379
46,0.437
47,0.467
48,0.502
49,0.404
50,0.429
51,0.437
52,0.452
53,0.546
54,0.567
55,0.533
56,0.483
57,0.427
58,0.408
59,0.348
60,0.425
61,0.394
62,0.362
63,0.438
64,0.6
65,0.6
66,0.587
67,0.523
68,0.527
69,0.56
70,0.567
71,0.719
72,0.692
73,0.744
74,0.758
75,0.704
76,0.594
77,0.656
78,0.721
79,0.842
80,0.862
81,0.856
82,0.921
83,0.956
84,0.985
85,0.896
86,0.902
87,0.983
88,0.996
89,0.977
90,0.942
91,1.0
92,0.808
93,0.777
94,0.771
95,0.715
96,0.692
97,0.779
98,0.813
99,0.848
100,0.821
101,0.842
102,0.79
103,0.802
104,0.869
105,0.852
106,0.852
107,0.687
108,0.663
109,0.671
110,0.669
111,0.656
112,0.675
113,0.575
114,0.546
115,0.502
116,0.485
117,0.492
118,0.531
119,0.61
120,0.577
121,0.613
122,0.621
123,0.623
124,0.688
125,0.652
126,0.629
127,0.623
128,0.615
129,0.717
130,0.679
131,0.737
132,0.721
133,0.798
134,0.771
135,0.729
136,0.615
137,0.617
138,0.66
139,0.687
140,0.469
141,0.462
142,0.49
143,0.477
144,0.471
145,0.56
146,0.567
147,0.621
148,0.64
149,0.627
150,0.646
151,0.606
152,0.596
153,0.619
154,0.654
155,0.623
156,0.648
157,0.619
158,0.658
159,0.581
160,0.573
161,0.654
162,0.621
163,0.604
164,0.592
165,0.562
166,0.5
167,0.535
168,0.506
169,0.427
170,0.415
171,0.275
172,0.263
173,0.14
174,0.11
175,0.0
176,0.083
