,Close
0,0.087
1,0.081
2,0.05
3,0.017
4,0.0
5,0.066
6,0.061
7,0.081
8,0.096
9,0.058
10,0.15
11,0.174
12,0.267
13,0.262
14,0.239
15,0.275
16,0.311
17,0.382
18,0.434
19,0.432
20,0.407
21,0.422
22,0.433
23,0.371
24,0.405
25,0.347
26,0.488
27,0.482
28,0.548
29,0.592
30,0.631
31,0.608
32,0.633
33,0.581
34,0.528
35,0.512
36,0.524
37,0.731
38,0.612
39,0.596
40,0.588
41,0.544
42,0.556
43,0.519
44,0.521
45,0.636
46,0.639
47,0.651
48,0.682
49,0.534
50,0.502
51,0.459
52,0.35
53,0.452
54,0.376
55,0.286
56,0.244
57,0.239
58,0.211
59,0.201
60,0.237
61,0.179
62,0.15
63,0.284
64,0.412
65,0.532
66,0.614
67,0.46
68,0.459
69,0.537
70,0.464
71,0.505
72,0.403
73,0.489
74,0.502
75,0.402
76,0.283
77,0.367
78,0.422
79,0.532
80,0.495
81,0.531
82,0.616
83,0.6
84,0.602
85,0.507
86,0.51
87,0.531
88,0.594
89,0.633
90,0.608
91,0.821
92,0.751
93,0.722
94,0.785
95,0.785
96,0.774
97,0.841
98,0.859
99,0.931
100,0.96
101,0.966
102,0.894
103,0.884
104,0.962
105,0.986
106,1.0
107,0.938
108,0.926
109,0.935
110,0.964
111,0.955
112,0.947
113,0.985
114,0.884
115,0.838
116,0.795
117,0.742
118,0.753
119,0.813
120,0.758
121,0.81
122,0.797
123,0.737
124,0.743
125,0.715
126,0.731
127,0.738
128,0.225
129,0.281
130,0.298
131,0.29
132,0.375
133,0.313
134,0.3
135,0.289
136,0.244
137,0.165
138,0.291
139,0.303
140,0.327
141,0.339
142,0.317
143,0.337
144,0.326
145,0.414
146,0.451
147,0.512
148,0.473
149,0.451
150,0.432
151,0.378
152,0.347
153,0.303
154,0.361
155,0.382
156,0.385
157,0.329
158,0.341
159,0.241
160,0.297
161,0.29
162,0.31
163,0.353
164,0.363
165,0.376
166,0.424
167,0.46
168,0.391
169,0.34
170,0.356
171,0.299
172,0.23
173,0.195
174,0.267
175,0.185
176,0.217
