,Close
0,0.266
1,0.286
2,0.316
3,0.329
4,0.304
5,0.299
6,0.314
7,0.299
8,0.304
9,0.284
10,0.296
11,0.319
12,0.334
13,0.314
14,0.284
15,0.289
16,0.299
17,0.306
18,0.314
19,0.301
20,0.339
21,0.367
22,0.413
23,0.42
24,0.441
25,0.476
26,0.522
27,0.473
28,0.451
29,0.486
30,0.466
31,0.509
32,0.511
33,0.489
34,0.484
35,0.506
36,0.522
37,0.481
38,0.443
39,0.473
40,0.428
41,0.441
42,0.433
43,0.42
44,0.413
45,0.425
46,0.438
47,0.42
48,0.463
49,0.448
50,0.423
51,0.425
52,0.375
53,0.296
54,0.268
55,0.225
56,0.251
57,0.197
58,0.197
59,0.22
60,0.223
61,0.197
62,0.177
63,0.177
64,0.192
65,0.22
66,0.213
67,0.172
68,0.137
69,0.122
70,0.137
71,0.149
72,0.149
73,0.172
74,0.273
75,0.344
76,0.314
77,0.309
78,0.392
79,0.577
80,0.673
81,0.668
82,0.747
83,0.851
84,0.884
85,0.676
86,0.767
87,0.853
88,1.0
89,0.927
90,0.916
91,0.927
92,0.818
93,0.311
94,0.233
95,0.286
96,0.332
97,0.324
98,0.319
99,0.278
100,0.289
101,0.268
102,0.248
103,0.256
104,0.271
105,0.324
106,0.342
107,0.304
108,0.281
109,0.268
110,0.294
111,0.304
112,0.299
113,0.278
114,0.253
115,0.253
116,0.261
117,0.177
118,0.241
119,0.243
120,0.225
121,0.241
122,0.208
123,0.21
124,0.243
125,0.263
126,0.311
127,0.359
128,0.359
129,0.349
130,0.354
131,0.362
132,0.362
133,0.375
134,0.385
135,0.514
136,0.415
137,0.43
138,0.494
139,0.539
140,0.522
141,0.539
142,0.527
143,0.489
144,0.489
145,0.506
146,0.501
147,0.511
148,0.643
149,0.62
150,0.58
151,0.572
152,0.554
153,0.491
154,0.476
155,0.484
156,0.466
157,0.481
158,0.582
159,0.615
160,0.633
161,0.6
162,0.099
163,0.104
164,0.094
165,0.063
166,0.058
167,0.068
168,0.063
169,0.058
170,0.041
171,0.023
172,0.013
173,0.0
174,0.025
175,0.015
176,0.015
