,Close
0,0.454
1,0.441
2,0.402
3,0.343
4,0.324
5,0.281
6,0.278
7,0.248
8,0.31
9,0.294
10,0.392
11,0.412
12,0.454
13,0.408
14,0.418
15,0.346
16,0.454
17,0.487
18,0.523
19,0.536
20,0.539
21,0.572
22,0.533
23,0.559
24,0.552
25,0.559
26,0.644
27,0.601
28,0.601
29,0.611
30,0.621
31,0.572
32,0.582
33,0.493
34,0.451
35,0.458
36,0.48
37,0.51
38,0.376
39,0.346
40,0.304
41,0.324
42,0.301
43,0.281
44,0.261
45,0.31
46,0.359
47,0.454
48,0.601
49,0.451
50,0.444
51,0.458
52,0.363
53,0.363
54,0.324
55,0.258
56,0.252
57,0.141
58,0.075
59,0.124
60,0.19
61,0.105
62,0.065
63,0.235
64,0.389
65,0.382
66,0.35
67,0.216
68,0.203
69,0.17
70,0.196
71,0.34
72,0.255
73,0.408
74,0.448
75,0.425
76,0.431
77,0.435
78,0.523
79,0.621
80,0.51
81,0.497
82,0.542
83,0.588
84,0.588
85,0.477
86,0.474
87,0.49
88,0.546
89,0.572
90,0.493
91,0.778
92,0.781
93,0.719
94,0.768
95,0.761
96,0.788
97,0.82
98,0.856
99,0.895
100,0.928
101,0.935
102,0.873
103,0.902
104,0.974
105,1.0
106,0.997
107,0.938
108,0.915
109,0.951
110,0.984
111,0.892
112,0.843
113,0.837
114,0.686
115,0.569
116,0.52
117,0.422
118,0.461
119,0.516
120,0.448
121,0.448
122,0.408
123,0.346
124,0.418
125,0.428
126,0.379
127,0.376
128,0.32
129,0.382
130,0.392
131,0.376
132,0.366
133,0.363
134,0.359
135,0.34
136,0.271
137,0.216
138,0.206
139,0.255
140,0.235
141,0.229
142,0.255
143,0.268
144,0.239
145,0.314
146,0.386
147,0.441
148,0.402
149,0.359
150,0.425
151,0.412
152,0.399
153,0.402
154,0.507
155,0.49
156,0.503
157,0.461
158,0.461
159,0.415
160,0.382
161,0.399
162,0.314
163,0.359
164,0.317
165,0.291
166,0.304
167,0.356
168,0.324
169,0.255
170,0.265
171,0.183
172,0.114
173,0.098
174,0.069
175,0.0
176,0.085
