,Close
0,0.154
1,0.135
2,0.13
3,0.112
4,0.13
5,0.095
6,0.031
7,0.0
8,0.051
9,0.069
10,0.122
11,0.124
12,0.116
13,0.188
14,0.253
15,0.328
16,0.324
17,0.313
18,0.316
19,0.316
20,0.264
21,0.271
22,0.261
23,0.27
24,0.277
25,0.302
26,0.337
27,0.366
28,0.404
29,0.43
30,0.478
31,0.48
32,0.486
33,0.498
34,0.455
35,0.381
36,0.351
37,0.384
38,0.349
39,0.293
40,0.289
41,0.251
42,0.257
43,0.242
44,0.226
45,0.278
46,0.285
47,0.313
48,0.337
49,0.251
50,0.266
51,0.292
52,0.323
53,0.381
54,0.376
55,0.354
56,0.304
57,0.292
58,0.29
59,0.241
60,0.274
61,0.223
62,0.196
63,0.26
64,0.343
65,0.318
66,0.32
67,0.278
68,0.303
69,0.304
70,0.305
71,0.474
72,0.413
73,0.5
74,0.49
75,0.503
76,0.419
77,0.797
78,0.902
79,0.968
80,0.991
81,0.937
82,0.973
83,0.939
84,0.973
85,0.871
86,0.811
87,0.905
88,0.913
89,0.872
90,0.846
91,1.0
92,0.866
93,0.863
94,0.902
95,0.882
96,0.875
97,0.882
98,0.885
99,0.882
100,0.848
101,0.87
102,0.822
103,0.816
104,0.873
105,0.831
106,0.826
107,0.718
108,0.722
109,0.69
110,0.675
111,0.683
112,0.698
113,0.733
114,0.697
115,0.624
116,0.614
117,0.638
118,0.636
119,0.679
120,0.682
121,0.695
122,0.678
123,0.636
124,0.648
125,0.621
126,0.601
127,0.602
128,0.559
129,0.667
130,0.547
131,0.581
132,0.585
133,0.65
134,0.655
135,0.626
136,0.52
137,0.468
138,0.215
139,0.32
140,0.328
141,0.277
142,0.292
143,0.315
144,0.325
145,0.377
146,0.395
147,0.439
148,0.482
149,0.451
150,0.474
151,0.438
152,0.406
153,0.407
154,0.433
155,0.384
156,0.413
157,0.403
158,0.435
159,0.38
160,0.374
161,0.391
162,0.391
163,0.416
164,0.416
165,0.4
166,0.391
167,0.412
168,0.397
169,0.382
170,0.359
171,0.239
172,0.255
173,0.195
174,0.237
175,0.213
176,0.317
