,Close
0,0.382
1,0.351
2,0.327
3,0.33
4,0.322
5,0.307
6,0.239
7,0.237
8,0.366
9,0.331
10,0.431
11,0.448
12,0.472
13,0.427
14,0.452
15,0.53
16,0.589
17,0.596
18,0.591
19,0.575
20,0.48
21,0.489
22,0.457
23,0.491
24,0.479
25,0.495
26,0.54
27,0.543
28,0.655
29,0.688
30,0.744
31,0.691
32,0.677
33,0.656
34,0.551
35,0.473
36,0.452
37,0.482
38,0.421
39,0.323
40,0.352
41,0.285
42,0.371
43,0.292
44,0.401
45,0.458
46,0.448
47,0.49
48,0.546
49,0.416
50,0.452
51,0.501
52,0.454
53,0.568
54,0.579
55,0.545
56,0.5
57,0.473
58,0.455
59,0.378
60,0.421
61,0.363
62,0.339
63,0.385
64,0.532
65,0.503
66,0.473
67,0.385
68,0.429
69,0.472
70,0.458
71,0.628
72,0.608
73,0.684
74,0.67
75,0.681
76,0.554
77,0.673
78,0.72
79,0.744
80,0.736
81,0.776
82,0.925
83,0.908
84,0.935
85,0.876
86,0.826
87,0.961
88,0.871
89,0.818
90,0.832
91,0.929
92,0.82
93,0.856
94,1.0
95,0.902
96,0.92
97,0.902
98,0.973
99,0.943
100,0.944
101,0.973
102,0.886
103,0.862
104,0.947
105,0.959
106,0.933
107,0.787
108,0.816
109,0.747
110,0.764
111,0.738
112,0.741
113,0.709
114,0.631
115,0.538
116,0.499
117,0.536
118,0.541
119,0.623
120,0.57
121,0.606
122,0.641
123,0.571
124,0.608
125,0.615
126,0.587
127,0.547
128,0.516
129,0.601
130,0.527
131,0.495
132,0.499
133,0.602
134,0.6
135,0.556
136,0.458
137,0.418
138,0.486
139,0.48
140,0.444
141,0.443
142,0.454
143,0.491
144,0.432
145,0.49
146,0.476
147,0.626
148,0.665
149,0.606
150,0.702
151,0.596
152,0.539
153,0.543
154,0.56
155,0.506
156,0.612
157,0.551
158,0.603
159,0.518
160,0.506
161,0.503
162,0.488
163,0.483
164,0.46
165,0.441
166,0.394
167,0.447
168,0.388
169,0.35
170,0.367
171,0.189
172,0.285
173,0.0
174,0.092
175,0.099
176,0.288
