,Close
0,0.061
1,0.039
2,0.084
3,0.043
4,0.036
5,0.058
6,0.031
7,0.0
8,0.07
9,0.067
10,0.129
11,0.177
12,0.195
13,0.169
14,0.164
15,0.131
16,0.186
17,0.238
18,0.259
19,0.247
20,0.214
21,0.243
22,0.288
23,0.296
24,0.359
25,0.393
26,0.468
27,0.452
28,0.48
29,0.515
30,0.492
31,0.475
32,0.477
33,0.408
34,0.366
35,0.412
36,0.43
37,0.446
38,0.344
39,0.319
40,0.325
41,0.306
42,0.301
43,0.293
44,0.355
45,0.406
46,0.399
47,0.496
48,0.499
49,0.42
50,0.42
51,0.423
52,0.387
53,0.406
54,0.354
55,0.302
56,0.273
57,0.214
58,0.201
59,0.212
60,0.262
61,0.224
62,0.221
63,0.257
64,0.354
65,0.31
66,0.309
67,0.275
68,0.29
69,0.255
70,0.269
71,0.304
72,0.207
73,0.239
74,0.278
75,0.243
76,0.183
77,0.228
78,0.258
79,0.325
80,0.314
81,0.34
82,0.376
83,0.383
84,0.438
85,0.415
86,0.356
87,0.45
88,0.506
89,0.475
90,0.645
91,0.939
92,1.0
93,0.818
94,0.839
95,0.713
96,0.657
97,0.645
98,0.653
99,0.651
100,0.641
101,0.621
102,0.55
103,0.516
104,0.526
105,0.522
106,0.48
107,0.426
108,0.434
109,0.438
110,0.449
111,0.447
112,0.477
113,0.496
114,0.445
115,0.386
116,0.362
117,0.316
118,0.31
119,0.302
120,0.231
121,0.238
122,0.236
123,0.212
124,0.243
125,0.22
126,0.25
127,0.33
128,0.344
129,0.358
130,0.388
131,0.479
132,0.534
133,0.56
134,0.582
135,0.524
136,0.506
137,0.457
138,0.482
139,0.503
140,0.43
141,0.448
142,0.473
143,0.471
144,0.421
145,0.465
146,0.495
147,0.561
148,0.56
149,0.513
150,0.53
151,0.497
152,0.462
153,0.475
154,0.513
155,0.492
156,0.606
157,0.53
158,0.55
159,0.516
160,0.488
161,0.498
162,0.438
163,0.463
164,0.51
165,0.501
166,0.495
167,0.539
168,0.548
169,0.479
170,0.529
171,0.423
172,0.278
173,0.199
174,0.186
175,0.228
176,0.222
