,Close
0,0.331
1,0.308
2,0.325
3,0.317
4,0.311
5,0.328
6,0.283
7,0.246
8,0.34
9,0.34
10,0.436
11,0.431
12,0.416
13,0.42
14,0.444
15,0.439
16,0.491
17,0.53
18,0.577
19,0.574
20,0.56
21,0.593
22,0.574
23,0.593
24,0.592
25,0.616
26,0.629
27,0.672
28,0.714
29,0.731
30,0.783
31,0.752
32,0.754
33,0.747
34,0.631
35,0.616
36,0.62
37,0.657
38,0.599
39,0.545
40,0.539
41,0.536
42,0.459
43,0.435
44,0.366
45,0.399
46,0.453
47,0.503
48,0.576
49,0.505
50,0.472
51,0.519
52,0.547
53,0.583
54,0.595
55,0.573
56,0.546
57,0.48
58,0.497
59,0.457
60,0.545
61,0.509
62,0.5
63,0.534
64,0.659
65,0.678
66,0.687
67,0.64
68,0.643
69,0.681
70,0.658
71,0.775
72,0.742
73,0.792
74,0.803
75,0.772
76,0.66
77,0.753
78,0.81
79,0.864
80,0.858
81,0.858
82,0.953
83,0.945
84,0.951
85,0.916
86,0.889
87,0.963
88,0.928
89,0.893
90,0.865
91,0.941
92,0.881
93,0.857
94,0.878
95,0.824
96,0.817
97,0.878
98,0.928
99,1.0
100,0.994
101,0.997
102,0.931
103,0.936
104,0.984
105,0.96
106,0.947
107,0.737
108,0.73
109,0.739
110,0.745
111,0.695
112,0.695
113,0.608
114,0.517
115,0.468
116,0.42
117,0.485
118,0.475
119,0.523
120,0.517
121,0.535
122,0.566
123,0.544
124,0.57
125,0.558
126,0.55
127,0.552
128,0.523
129,0.574
130,0.556
131,0.599
132,0.616
133,0.639
134,0.665
135,0.644
136,0.412
137,0.328
138,0.403
139,0.414
140,0.39
141,0.393
142,0.383
143,0.405
144,0.372
145,0.454
146,0.467
147,0.562
148,0.584
149,0.519
150,0.553
151,0.514
152,0.462
153,0.451
154,0.483
155,0.46
156,0.528
157,0.5
158,0.519
159,0.463
160,0.452
161,0.494
162,0.516
163,0.499
164,0.501
165,0.495
166,0.412
167,0.433
168,0.484
169,0.421
170,0.399
171,0.226
172,0.193
173,0.029
174,0.012
175,0.0
176,0.118
