,Close
0,0.26
1,0.254
2,0.273
3,0.251
4,0.344
5,0.335
6,0.406
7,0.396
8,0.459
9,0.514
10,0.449
11,0.473
12,0.446
13,0.488
14,0.483
15,0.503
16,0.543
17,0.515
18,0.555
19,0.592
20,0.618
21,0.582
22,0.555
23,0.524
24,0.46
25,0.409
26,0.393
27,0.425
28,0.355
29,0.301
30,0.301
31,0.225
32,0.205
33,0.171
34,0.101
35,0.131
36,0.166
37,0.223
38,0.253
39,0.124
40,0.117
41,0.146
42,0.146
43,0.216
44,0.215
45,0.168
46,0.115
47,0.063
48,0.039
49,0.013
50,0.07
51,0.048
52,0.0
53,0.073
54,0.195
55,0.178
56,0.15
57,0.133
58,0.164
59,0.166
60,0.209
61,0.336
62,0.558
63,0.722
64,0.841
65,0.825
66,0.706
67,0.764
68,0.81
69,0.857
70,0.833
71,0.843
72,0.95
73,0.965
74,0.951
75,0.846
76,0.821
77,0.908
78,0.895
79,0.896
80,0.816
81,1.0
82,0.904
83,0.644
84,0.634
85,0.567
86,0.469
87,0.472
88,0.57
89,0.585
90,0.534
91,0.56
92,0.498
93,0.523
94,0.585
95,0.56
96,0.546
97,0.374
98,0.384
99,0.365
100,0.423
101,0.398
102,0.414
103,0.445
104,0.384
105,0.322
106,0.31
107,0.348
108,0.39
109,0.481
110,0.44
111,0.45
112,0.459
113,0.429
114,0.442
115,0.395
116,0.371
117,0.32
118,0.256
119,0.385
120,0.402
121,0.461
122,0.531
123,0.556
124,0.705
125,0.664
126,0.452
127,0.398
128,0.426
129,0.419
130,0.404
131,0.434
132,0.446
133,0.461
134,0.465
135,0.606
136,0.654
137,0.746
138,0.709
139,0.617
140,0.67
141,0.659
142,0.622
143,0.637
144,0.668
145,0.728
146,0.791
147,0.712
148,0.764
149,0.619
150,0.596
151,0.587
152,0.592
153,0.604
154,0.563
155,0.569
156,0.512
157,0.494
158,0.585
159,0.472
160,0.488
161,0.191
162,0.189
163,0.25
164,0.229
165,0.17
166,0.181
