,Close
0,0.847
1,0.826
2,0.764
3,0.776
4,0.611
5,0.538
6,0.489
7,0.55
8,0.615
9,0.521
10,0.504
11,0.531
12,0.695
13,0.684
14,0.703
15,0.605
16,0.465
17,0.475
18,0.471
19,0.484
20,0.39
21,0.518
22,0.548
23,0.484
24,0.573
25,0.641
26,0.703
27,0.87
28,0.789
29,0.865
30,0.965
31,0.919
32,1.0
33,0.849
34,0.837
35,0.38
36,0.246
37,0.201
38,0.272
39,0.448
40,0.461
41,0.409
42,0.543
43,0.41
44,0.37
45,0.312
46,0.228
47,0.269
48,0.335
49,0.334
50,0.331
51,0.304
52,0.359
53,0.366
54,0.358
55,0.299
56,0.278
57,0.316
58,0.354
59,0.339
60,0.335
61,0.363
62,0.355
63,0.258
64,0.228
65,0.183
66,0.15
67,0.177
68,0.166
69,0.141
70,0.034
71,0.044
72,0.117
73,0.075
74,0.066
75,0.058
76,0.032
77,0.027
78,0.008
79,0.0
80,0.082
81,0.185
82,0.225
83,0.313
84,0.323
85,0.286
86,0.389
87,0.496
88,0.477
89,0.491
90,0.526
91,0.553
92,0.509
93,0.532
94,0.64
95,0.755
96,0.653
97,0.601
98,0.639
99,0.606
100,0.546
101,0.494
102,0.482
103,0.558
104,0.68
105,0.713
106,0.771
107,0.598
108,0.652
109,0.674
110,0.588
111,0.555
112,0.536
113,0.523
114,0.603
115,0.702
116,0.693
117,0.646
118,0.612
119,0.502
120,0.448
121,0.464
122,0.511
123,0.524
124,0.603
125,0.544
126,0.493
127,0.543
128,0.447
129,0.496
130,0.471
131,0.493
132,0.478
133,0.565
134,0.581
135,0.688
136,0.668
137,0.647
138,0.505
139,0.574
140,0.56
141,0.533
142,0.479
143,0.547
144,0.48
145,0.488
146,0.498
147,0.488
148,0.456
149,0.461
150,0.372
151,0.248
152,0.242
153,0.296
154,0.334
155,0.363
156,0.269
157,0.21
158,0.136
159,0.147
160,0.227
161,0.235
162,0.33
163,0.29
164,0.225
165,0.256
166,0.248
167,0.35
168,0.422
169,0.421
170,0.52
171,0.482
172,0.508
173,0.473
174,0.49
175,0.537
