,Close
0,0.389
1,0.398
2,0.348
3,0.332
4,0.323
5,0.329
6,0.244
7,0.356
8,0.481
9,0.471
10,0.579
11,0.46
12,0.471
13,0.519
14,0.445
15,0.371
16,0.462
17,0.518
18,0.518
19,0.438
20,0.457
21,0.418
22,0.523
23,0.758
24,0.821
25,0.826
26,0.816
27,0.784
28,0.929
29,0.954
30,0.838
31,0.814
32,0.758
33,0.774
34,0.373
35,0.528
36,0.607
37,0.705
38,0.742
39,0.747
40,0.695
41,0.579
42,0.569
43,0.51
44,0.579
45,0.525
46,0.542
47,0.561
48,0.542
49,0.639
50,0.656
51,0.753
52,0.738
53,0.555
54,0.562
55,0.503
56,0.536
57,0.533
58,0.617
59,0.564
60,0.586
61,0.525
62,0.569
63,0.457
64,0.518
65,0.512
66,0.506
67,0.504
68,0.487
69,0.507
70,0.494
71,0.49
72,0.402
73,0.385
74,0.338
75,0.229
76,0.149
77,0.155
78,0.163
79,0.093
80,0.043
81,0.035
82,0.078
83,0.052
84,0.002
85,0.0
86,0.034
87,0.042
88,0.033
89,0.06
90,0.042
91,0.097
92,0.106
93,0.084
94,0.09
95,0.141
96,0.103
97,0.144
98,0.276
99,0.385
100,0.383
101,0.433
102,0.38
103,0.383
104,0.353
105,0.406
106,0.358
107,0.559
108,0.669
109,0.637
110,0.663
111,0.68
112,0.661
113,0.933
114,0.925
115,1.0
116,0.947
117,0.949
118,0.95
119,0.927
120,0.884
121,0.916
122,0.789
123,0.758
124,0.712
125,0.711
126,0.725
127,0.712
128,0.672
129,0.559
130,0.56
131,0.514
132,0.606
133,0.621
134,0.699
135,0.64
136,0.703
137,0.722
138,0.679
139,0.658
140,0.661
141,0.654
142,0.659
143,0.681
144,0.662
145,0.683
146,0.669
147,0.671
148,0.653
149,0.65
150,0.701
151,0.748
