,Close
0,1.0
1,0.953
2,0.929
3,0.947
4,0.932
5,0.853
6,0.796
7,0.757
8,0.721
9,0.626
10,0.586
11,0.709
12,0.619
13,0.645
14,0.702
15,0.735
16,0.654
17,0.582
18,0.532
19,0.554
20,0.597
21,0.557
22,0.612
23,0.532
24,0.602
25,0.628
26,0.58
27,0.564
28,0.62
29,0.655
30,0.762
31,0.691
32,0.722
33,0.725
34,0.726
35,0.635
36,0.551
37,0.476
38,0.457
39,0.423
40,0.395
41,0.393
42,0.568
43,0.622
44,0.541
45,0.584
46,0.568
47,0.551
48,0.624
49,0.595
50,0.605
51,0.527
52,0.58
53,0.49
54,0.495
55,0.531
56,0.565
57,0.543
58,0.491
59,0.462
60,0.484
61,0.562
62,0.573
63,0.572
64,0.598
65,0.547
66,0.493
67,0.42
68,0.355
69,0.34
70,0.361
71,0.344
72,0.357
73,0.337
74,0.288
75,0.305
76,0.295
77,0.277
78,0.34
79,0.282
80,0.363
81,0.362
82,0.325
83,0.41
84,0.46
85,0.444
86,0.476
87,0.468
88,0.464
89,0.532
90,0.519
91,0.531
92,0.536
93,0.568
94,0.603
95,0.584
96,0.658
97,0.722
98,0.797
99,0.757
100,0.732
101,0.736
102,0.73
103,0.705
104,0.702
105,0.683
106,0.655
107,0.595
108,0.563
109,0.541
110,0.491
111,0.483
112,0.495
113,0.461
114,0.47
115,0.455
116,0.423
117,0.419
118,0.47
119,0.457
120,0.404
121,0.434
122,0.379
123,0.276
124,0.27
125,0.295
126,0.261
127,0.206
128,0.085
129,0.076
130,0.038
131,0.008
132,0.019
133,0.051
134,0.033
135,0.0
136,0.058
137,0.065
138,0.131
139,0.14
140,0.143
141,0.143
142,0.164
143,0.16
144,0.138
145,0.139
146,0.153
147,0.154
148,0.195
149,0.171
150,0.205
151,0.169
152,0.153
153,0.145
154,0.141
155,0.105
156,0.151
157,0.202
158,0.222
159,0.214
160,0.223
161,0.259
162,0.323
163,0.327
164,0.356
165,0.381
166,0.355
167,0.333
168,0.32
169,0.287
170,0.311
171,0.324
172,0.319
173,0.348
174,0.363
175,0.276
176,0.26
177,0.299
