,Close
0,1.0
1,0.807
2,0.677
3,0.331
4,0.508
5,0.487
6,0.54
7,0.42
8,0.426
9,0.601
10,0.436
11,0.389
12,0.424
13,0.456
14,0.476
15,0.494
16,0.437
17,0.448
18,0.419
19,0.377
20,0.307
21,0.369
22,0.38
23,0.38
24,0.376
25,0.4
26,0.352
27,0.392
28,0.369
29,0.454
30,0.453
31,0.426
32,0.392
33,0.312
34,0.305
35,0.303
36,0.327
37,0.291
38,0.15
39,0.117
40,0.0
41,0.09
42,0.112
43,0.111
44,0.095
45,0.077
46,0.106
47,0.175
48,0.157
49,0.237
50,0.257
51,0.226
52,0.271
53,0.296
54,0.271
55,0.272
56,0.283
57,0.266
58,0.205
59,0.245
60,0.339
61,0.306
62,0.396
63,0.418
64,0.392
65,0.361
66,0.374
67,0.42
68,0.377
69,0.417
70,0.382
71,0.37
72,0.327
73,0.264
74,0.254
75,0.284
76,0.326
77,0.323
