,Close
0,0.599
1,0.707
2,0.71
3,0.888
4,0.947
5,0.824
6,0.983
7,0.966
8,0.947
9,0.775
10,0.736
11,0.561
12,0.493
13,0.568
14,0.355
15,0.66
16,0.61
17,0.643
18,0.668
19,0.5
20,0.43
21,0.59
22,0.506
23,0.605
24,0.657
25,0.71
26,0.701
27,0.694
28,0.913
29,0.862
30,1.0
31,0.794
32,0.605
33,0.75
34,0.829
35,0.705
36,0.887
37,0.973
38,0.979
39,0.797
40,0.796
41,0.616
42,0.712
43,0.851
44,0.833
45,0.73
46,0.602
47,0.577
48,0.75
49,0.797
50,0.622
51,0.601
52,0.533
53,0.627
54,0.543
55,0.684
56,0.709
57,0.853
58,0.897
59,0.836
60,0.774
61,0.718
62,0.8
63,0.789
64,0.787
65,0.789
66,0.745
67,0.732
68,0.596
69,0.724
70,0.754
71,0.811
72,0.756
73,0.674
74,0.707
75,0.593
76,0.557
77,0.574
78,0.607
79,0.574
80,0.536
81,0.491
82,0.606
83,0.366
84,0.361
85,0.424
86,0.277
87,0.277
88,0.293
89,0.466
90,0.45
91,0.513
92,0.457
93,0.395
94,0.361
95,0.193
96,0.0
97,0.255
98,0.367
99,0.282
100,0.353
101,0.213
102,0.299
103,0.244
104,0.069
105,0.083
106,0.126
107,0.197
108,0.126
109,0.178
110,0.122
111,0.215
112,0.246
113,0.219
114,0.159
115,0.21
116,0.229
117,0.271
118,0.234
119,0.35
120,0.326
121,0.61
122,0.654
123,0.713
124,0.668
125,0.778
126,0.765
127,0.631
128,0.562
129,0.57
130,0.628
131,0.698
132,0.595
133,0.687
134,0.677
135,0.797
136,0.767
137,0.822
138,0.83
139,0.782
140,0.752
141,0.775
142,0.685
143,0.649
144,0.62
145,0.66
146,0.704
147,0.608
148,0.582
149,0.491
150,0.484
151,0.425
152,0.451
153,0.541
154,0.615
155,0.624
156,0.686
157,0.7
158,0.685
159,0.64
160,0.706
161,0.787
162,0.751
163,0.732
164,0.687
165,0.732
166,0.708
167,0.715
168,0.642
169,0.572
170,0.547
171,0.64
