,Close
0,1.0
1,0.86
2,0.815
3,0.676
4,0.661
5,0.646
6,0.521
7,0.524
8,0.506
9,0.69
10,0.717
11,0.637
12,0.577
13,0.571
14,0.705
15,0.375
16,0.342
17,0.402
18,0.327
19,0.408
20,0.42
21,0.387
22,0.414
23,0.354
24,0.354
25,0.336
26,0.437
27,0.426
28,0.324
29,0.298
30,0.28
31,0.42
32,0.479
33,0.506
34,0.482
35,0.536
36,0.485
37,0.461
38,0.5
39,0.637
40,0.679
41,0.723
42,0.708
43,0.631
44,0.688
45,0.643
46,0.652
47,0.75
48,0.625
49,0.655
50,0.664
51,0.574
52,0.646
53,0.524
54,0.497
55,0.446
56,0.381
57,0.318
58,0.28
59,0.318
60,0.393
61,0.446
62,0.36
63,0.31
64,0.315
65,0.321
66,0.292
67,0.256
68,0.318
69,0.187
70,0.122
71,0.0
72,0.009
73,0.095
74,0.06
75,0.134
76,0.205
77,0.205
78,0.137
79,0.143
80,0.101
81,0.131
82,0.128
83,0.28
84,0.277
85,0.229
86,0.274
87,0.262
88,0.259
89,0.262
90,0.25
91,0.176
92,0.292
93,0.348
94,0.345
95,0.515
96,0.652
97,0.765
98,0.634
99,0.738
100,0.643
101,0.786
102,0.705
103,0.601
104,0.717
105,0.771
106,0.741
107,0.664
108,0.667
109,0.625
110,0.622
111,0.527
112,0.521
113,0.631
114,0.673
115,0.676
116,0.601
117,0.574
118,0.619
119,0.589
120,0.64
121,0.601
122,0.637
123,0.628
124,0.637
125,0.655
126,0.655
127,0.795
128,0.857
129,0.768
130,0.705
131,0.708
132,0.81
133,0.824
134,0.887
135,0.747
136,0.804
137,0.827
138,0.818
139,0.851
140,0.869
141,0.801
142,0.857
143,0.738
144,0.679
145,0.72
146,0.69
147,0.69
148,0.762
