,Close
0,1.0
1,0.825
2,0.92
3,0.965
4,0.825
5,0.625
6,0.655
7,0.695
8,0.805
9,0.92
10,0.9
11,0.875
12,0.855
13,0.89
14,0.78
15,0.705
16,0.79
17,0.85
18,0.765
19,0.74
20,0.65
21,0.635
22,0.56
23,0.485
24,0.62
25,0.57
26,0.665
27,0.73
28,0.695
29,0.66
30,0.67
31,0.785
32,0.49
33,0.45
34,0.52
35,0.44
36,0.46
37,0.505
38,0.48
39,0.49
40,0.42
41,0.375
42,0.39
43,0.49
44,0.45
45,0.32
46,0.28
47,0.29
48,0.375
49,0.42
50,0.365
51,0.365
52,0.355
53,0.32
54,0.23
55,0.28
56,0.32
57,0.37
58,0.415
59,0.445
60,0.39
61,0.39
62,0.365
63,0.455
64,0.585
65,0.48
66,0.46
67,0.445
68,0.34
69,0.355
70,0.23
71,0.19
72,0.2
73,0.14
74,0.095
75,0.09
76,0.12
77,0.12
78,0.175
79,0.165
80,0.155
81,0.16
82,0.155
83,0.14
84,0.165
85,0.225
86,0.15
87,0.055
88,0.0
89,0.1
90,0.155
91,0.12
92,0.17
93,0.225
94,0.3
95,0.255
96,0.28
97,0.3
98,0.375
99,0.345
100,0.495
101,0.43
102,0.34
103,0.395
104,0.335
105,0.355
106,0.375
107,0.38
108,0.28
109,0.28
110,0.35
111,0.39
112,0.445
113,0.45
114,0.5
115,0.415
116,0.465
117,0.41
118,0.47
119,0.485
120,0.39
121,0.34
122,0.375
123,0.39
124,0.405
125,0.42
126,0.305
127,0.26
128,0.14
129,0.15
130,0.195
131,0.25
132,0.205
133,0.21
134,0.19
135,0.2
136,0.135
137,0.16
138,0.185
139,0.185
140,0.21
141,0.235
142,0.205
143,0.175
144,0.195
145,0.265
146,0.205
147,0.16
148,0.215
149,0.22
150,0.23
151,0.26
152,0.21
