,Close
0,0.304
1,0.496
2,0.366
3,0.427
4,0.426
5,0.279
6,0.451
7,0.5
8,0.346
9,0.423
10,0.247
11,0.565
12,0.495
13,0.564
14,0.719
15,0.738
16,0.765
17,0.709
18,0.484
19,0.34
20,0.52
21,0.64
22,0.653
23,0.61
24,0.672
25,0.674
26,0.546
27,0.746
28,0.896
29,1.0
30,0.889
31,0.81
32,0.916
33,0.799
34,0.674
35,0.746
36,0.918
37,0.852
38,0.877
39,0.747
40,0.775
41,0.489
42,0.44
43,0.504
44,0.366
45,0.385
46,0.346
47,0.262
48,0.37
49,0.559
50,0.593
51,0.374
52,0.387
53,0.192
54,0.0
55,0.044
56,0.207
57,0.165
58,0.33
59,0.203
60,0.324
61,0.412
62,0.192
63,0.22
64,0.325
65,0.363
66,0.318
67,0.44
68,0.516
69,0.709
70,0.769
71,0.687
72,0.704
73,0.73
74,0.753
75,0.775
76,0.733
77,0.907
78,0.841
79,0.918
80,0.912
81,0.901
82,0.89
83,0.912
84,0.929
85,0.753
86,0.615
87,0.819
88,0.951
89,0.982
90,0.854
91,0.775
92,0.709
93,0.911
94,0.893
95,0.83
96,0.868
97,0.819
98,0.83
99,0.846
100,0.703
101,0.819
102,0.896
103,0.896
104,0.847
105,0.695
106,0.56
107,0.599
108,0.751
109,0.691
110,0.659
111,0.764
112,0.982
113,0.94
114,0.912
