,Close
0,0.697
1,0.789
2,0.775
3,0.709
4,0.669
5,0.709
6,0.794
7,0.634
8,0.703
9,0.74
10,0.823
11,0.771
12,0.754
13,0.851
14,0.806
15,0.777
16,0.814
17,0.646
18,0.326
19,0.457
20,0.509
21,0.406
22,0.531
23,0.589
24,0.72
25,0.737
26,0.737
27,0.726
28,0.799
29,0.757
30,0.746
31,0.789
32,0.674
33,0.697
34,0.663
35,0.549
36,0.52
37,0.491
38,0.514
39,0.537
40,0.566
41,0.594
42,0.594
43,0.691
44,0.48
45,0.56
46,0.554
47,0.417
48,0.326
49,0.166
50,0.08
51,0.074
52,0.0
53,0.16
54,0.211
55,0.257
56,0.137
57,0.211
58,0.137
59,0.177
60,0.189
61,0.211
62,0.257
63,0.369
64,0.266
65,0.314
66,0.286
67,0.337
68,0.389
69,0.514
70,0.509
71,0.531
72,0.586
73,0.617
74,0.543
75,0.591
76,0.731
77,0.743
78,0.709
79,0.737
80,0.897
81,1.0
82,0.851
83,0.766
84,0.811
85,0.823
86,0.914
87,0.857
88,0.771
89,0.823
90,0.68
91,0.623
92,0.491
93,0.446
94,0.543
95,0.52
96,0.526
97,0.58
98,0.514
99,0.514
100,0.377
101,0.486
102,0.537
103,0.503
104,0.537
105,0.617
106,0.566
107,0.546
108,0.32
109,0.32
110,0.326
111,0.343
112,0.314
113,0.389
114,0.4
115,0.486
116,0.426
117,0.44
118,0.469
119,0.52
120,0.514
121,0.583
122,0.583
