,Close
0,0.125
1,0.187
2,0.406
3,0.336
4,0.291
5,0.367
6,0.644
7,0.615
8,0.894
9,0.794
10,0.748
11,0.787
12,0.964
13,1.0
14,0.859
15,0.734
16,0.781
17,0.544
18,0.727
19,0.698
20,0.661
21,0.606
22,0.539
23,0.49
24,0.438
25,0.497
26,0.334
27,0.721
28,0.523
29,0.299
30,0.151
31,0.278
32,0.367
33,0.409
34,0.656
35,0.683
36,0.82
37,0.705
38,0.943
39,0.901
40,0.537
41,0.646
42,0.498
43,0.468
44,0.685
45,0.792
46,0.716
47,0.955
48,0.929
49,0.756
50,0.37
51,0.334
52,0.502
53,0.346
54,0.174
55,0.062
56,0.159
57,0.0
