,Close
0,0.0
1,0.268
2,0.366
3,0.415
4,0.526
5,0.602
6,0.686
7,0.854
8,0.87
9,0.904
10,0.797
11,0.811
12,0.904
13,0.995
14,0.91
15,0.967
16,1.0
17,0.597
18,0.499
19,0.602
20,0.571
21,0.48
22,0.462
23,0.657
24,0.584
25,0.697
26,0.674
27,0.786
28,0.62
29,0.338
30,0.49
31,0.216
32,0.12
33,0.0
34,0.151
35,0.097
36,0.252
37,0.372
38,0.402
39,0.568
40,0.582
41,0.677
42,0.666
43,0.796
44,0.864
45,0.857
46,0.877
47,0.93
48,0.584
49,0.541
50,0.39
51,0.458
52,0.307
53,0.319
54,0.332
55,0.246
56,0.31
57,0.31
58,0.292
59,0.0
