,Close
0,0.063
1,0.157
2,0.229
3,0.251
4,0.296
5,0.215
6,0.161
7,0.327
8,0.637
9,0.664
10,0.7
11,0.771
12,0.713
13,0.731
14,0.78
15,0.933
16,0.964
17,0.857
18,0.596
19,0.565
20,0.327
21,0.309
22,0.215
23,0.193
24,0.179
25,0.323
26,0.413
27,0.628
28,0.726
29,0.646
30,0.641
31,0.682
32,0.758
33,0.848
34,0.87
35,0.803
36,0.655
37,0.883
38,1.0
39,0.821
40,0.861
41,0.686
42,0.543
43,0.377
44,0.274
45,0.229
46,0.0
47,0.709
48,0.601
49,0.453
50,0.161
51,0.305
52,0.43
53,0.426
54,0.511
55,0.408
56,0.502
57,0.605
58,0.587
59,0.731
60,0.735
61,0.771
62,0.7
63,0.735
64,0.955
65,0.883
66,0.964
67,0.839
68,0.583
69,0.395
70,0.408
71,0.0
