,Close
0,0.0
1,0.106
2,0.222
3,0.455
4,0.506
5,0.493
6,0.489
7,0.476
8,0.363
9,0.736
10,0.571
11,0.581
12,0.503
13,0.608
14,0.557
15,0.57
16,0.669
17,0.585
18,0.649
19,0.584
20,0.593
21,0.804
22,1.0
23,0.862
24,0.817
25,0.821
26,0.785
27,0.88
28,0.806
29,0.721
30,0.772
31,0.599
32,0.436
33,0.315
34,0.247
35,0.291
36,0.139
37,0.098
38,0.0
39,0.045
40,0.267
41,0.284
42,0.313
43,0.114
44,0.179
45,0.243
46,0.366
47,0.587
48,0.594
49,0.487
50,0.548
51,0.811
52,0.953
53,0.926
54,0.818
55,0.722
56,0.558
57,0.714
58,0.747
59,0.667
60,0.574
61,0.754
62,0.716
63,0.393
64,0.186
65,0.262
66,0.423
67,0.321
68,0.418
69,0.218
70,0.353
71,0.562
72,0.661
73,0.755
74,0.633
75,0.819
76,0.636
77,0.861
78,0.93
79,0.932
80,0.999
81,0.927
82,0.868
83,0.827
84,0.765
85,0.612
86,0.566
87,0.462
88,0.387
89,0.282
90,0.263
91,0.0
